StockID,QuantitySum,SalesSum,ChargeBack,ChargeRatio,SalesperMin,QuantityperMin,Customer
82567,455,927.91,0,0,3.325842294,1.630824373,81
85169C,333,349.97,0,0,0.264527589,0.25170068,13
90178B,1,11.95,0,0,0.021492806,0.001798561,1
17038,1501,138.1,0,0,0.100217707,1.089259797,18
82578,1651,953.31,12,0.007215875,4.96515625,8.598958333,138
82580,5032,2772.16,290,0.054490793,14.43833333,26.20833333,207
82581,3608,1919.97,21,0.005786718,9.99984375,18.79166667,168
82582,4073,8114.52,19,0.004643206,22.47789474,11.28254848,169
90195A,10,77.5,0,0,0.993589744,0.128205128,6
82583,6087,12151.24,72,0.011690209,11.15816345,5.58953168,201
17007B,24,50.4,0,0,0.536170213,0.255319149,2
90214R,2,2.5,0,0,0.001778094,0.001422475,1
84660C,639,590.57,0,0,0.428881627,0.464052288,20
85231B,764,642.38,11,0.014193548,0.477605948,0.56802974,71
22929,16,1004.75,3,0.157894737,0.715124555,0.0113879,13
82599,421,879.18,0,0,0.708444803,0.339242546,67
82600,5424,11253.14,38,0.006957159,73.07233766,35.22077922,216
82605,14,29.4,0,0,0.021381818,0.010181818,3
84993B,57,23.94,0,0,0.223738318,0.53271028,16
82615,36,91.8,0,0,0.165107914,0.064748201,1
90186B,12,35.4,0,0,0.024600417,0.008339124,6
17096,2516,443.76,0,0,2.143768116,12.15458937,12
85032C,559,541.7,12,0.021015762,0.407599699,0.420617005,69
35964,568,221.52,0,0,0.169099237,0.433587786,29
75013B,25,41.25,0,0,1.25,0.757575758,6
79063C,234,43.46,0,0,0.295646259,1.591836735,12
62018,4192,5422,0,0,55.89690722,43.21649485,38
90214P,3,3.75,0,0,0.220588235,0.176470588,1
84997A,2365,9012.29,4,0.001688476,6.812010582,1.78760393,141
16169M,635,266.7,0,0,1.826712329,4.349315068,23
84805A,6,22.5,0,0,0.040467626,0.010791367,1
84801B,22,46.2,0,0,0.391525424,0.186440678,3
90014C,4,32.8,0,0,0.02675367,0.003262643,3
84877B,126,157.5,0,0,0.846774194,0.677419355,8
62043B,16,13.28,1,0.058823529,0.105396825,0.126984127,5
85194L,873,723.33,28,0.031076582,3.158646288,3.812227074,52
17174,9,3.78,0,0,0.032307692,0.076923077,3
90037B,6,15.3,0,0,0.027517986,0.010791367,1
22959,4375,1793.5,275,0.059139785,16.01339286,39.0625,124
47563A,188,237.5,4,0.020833333,0.692419825,0.548104956,31
82613D,449,262.45,20,0.042643923,0.788138138,1.348348348,43
84459B,676,938.12,0,0,2.075486726,1.495575221,54
17012C,350,333.3,0,0,166.65,175,32
84984D,13,60.45,0,0,0.056128134,0.012070566,3
72140E,30,25.5,1,0.032258065,0.481132075,0.566037736,8
35910A,20,39,0,0,0.029301277,0.015026296,4
17191A,2,7.5,0,0,0.013489209,0.003597122,1
85034C,992,1388.52,7,0.007007007,12.3975,8.857142857,99
90129A,7,20.65,0,0,0.123652695,0.041916168,3
16156L,450,189,0,0,1.488188976,3.543307087,16
22971,2315,5474.4,16,0.006864007,70.18461538,29.67948718,161
90082B,26,165.1,0,0,1.85505618,0.292134831,7
90014A,16,103.2,0,0,0.072370266,0.011220196,8
90201B,51,150.45,7,0.120689655,1.157307692,0.392307692,9
90214M,15,18.75,0,0,0.019470405,0.015576324,2
90018C,5,21.25,1,0.166666667,0.125739645,0.029585799,3
85114A,577,880.05,0,0,0.834170616,0.546919431,20
22978,2328,8896.67,75,0.031210986,60.93609589,15.94520548,152
22979,3778,5604.36,91,0.023520289,10.86116279,7.321705426,223
84559A,272,231.98,0,0,2.108909091,2.472727273,34
22980,2200,3523,81,0.035510741,20.48255814,12.79069767,197
84625A,411,427.05,20,0.046403712,1.873026316,1.802631579,24
90177B,7,20.65,0,0,0.016401906,0.005559968,2
17011F,80,62.15,0,0,0.053347639,0.068669528,6
22981,421,581.65,6,0.014051522,3.421470588,2.476470588,55
22982,999,1247.17,24,0.023460411,11.87780952,9.514285714,116
90160A,24,166.8,7,0.225806452,0.139232053,0.020033389,10
90123B,8,47.6,0,0,0.141666667,0.023809524,4
84760S,43,62.35,0,0,0.225905797,0.155797101,8
21359,125,751.75,2,0.015748031,6.111788618,1.016260163,22
85024B,192,288,0,0,0.242833052,0.161888702,11
22987,100,42,0,0,0.030150754,0.071787509,4
47503A,2718,1236.61,36,0.013071895,0.886458781,1.948387097,123
90060B,1,5.95,0,0,0.010701439,0.001798561,1
85159B,591,1061.61,31,0.049839228,4.036539924,2.247148289,45
90130B,9,26.55,0,0,0.023454064,0.00795053,3
22995,2143,897.18,49,0.022354015,2.980664452,7.119601329,89
22996,4405,1818.42,26,0.00586775,13.46977778,32.62962963,152
47420,200,38,0,0,0.238993711,1.257861635,10
22997,2347,984.3,78,0.032164948,4.01755102,9.579591837,98
21369,86,127.5,0,0,0.090811966,0.061253561,11
35810A,603,546.21,0,0,0.464069669,0.512319456,46
16202B,29,14.5,0,0,0.21969697,0.439393939,2
90164B,28,65.7,0,0,0.619811321,0.264150943,7
21373,422,316.5,12,0.02764977,1.598484848,2.131313131,37
90162C,14,41.3,0,0,0.341322314,0.115702479,3
16162L,17,11.05,0,0,0.007754386,0.011929825,5
90123D,3,17.85,0,0,0.714,0.12,2
90039A,6,22.5,0,0,0.040467626,0.010791367,1
90185C,5,21.25,16,0.761904762,0.408653846,0.096153846,6
23015,30,247.5,7,0.189189189,0.176785714,0.021428571,15
85167B,48,93,0,0,0.075732899,0.039087948,7
23017,63,738.9,1,0.015625,4.959060403,0.422818792,20
85129B,100,121.65,0,0,1.308064516,1.075268817,10
23018,50,587.2,0,0,6.524444444,0.555555556,19
85132C,1399,2808.05,5,0.003561254,22.28611111,11.1031746,96
85071B,1212,600.36,2,0.001647446,6.597362637,13.31868132,84
37489A,33,14.43,0,0,0.01022679,0.023387668,14
90152C,1,5.95,0,0,0.010701439,0.001798561,1
46776C,9,44.55,0,0,0.645652174,0.130434783,5
35913B,35,29.75,0,0,0.021402878,0.025179856,8
17084A,200,42,0,0,0.029871977,0.142247511,7
85159A,410,695.1,40,0.088888889,2.58401487,1.524163569,38
85032A,722,669.4,0,0,0.497695167,0.536802974,80
C2,130,6486,1,0.007633588,102.952381,2.063492063,29
23038,38,33.14,0,0,0.023620813,0.027084818,4
23039,174,335.7,6,0.033333333,37.3,19.33333333,20
35004B,435,2059.85,30,0.064516129,8.994978166,1.899563319,28
90197B,3,14.85,0,0,0.026708633,0.005395683,1
23044,102,423.3,0,0,3.779464286,0.910714286,23
85206A,916,1450.2,0,0,58.008,36.64,99
47469,357,165.81,0,0,9.753529412,21,9
DOT,15,10307.1,0,0,33.79377049,0.049180328,1
90209B,105,191.1,0,0,0.141137371,0.077548006,7
75011,172,138.76,0,0,2.434385965,3.01754386,9
79190D,212,89.04,0,0,0.064242424,0.152958153,16
16207A,13,38.35,0,0,0.412365591,0.139784946,4
85132A,453,963.35,2,0.004395604,0.699092888,0.3287373,38
47480,591,937.23,0,0,4.279589041,2.698630137,29
47578A,178,151.3,0,0,3.7825,4.45,24
47481,222,164.22,0,0,0.462591549,0.625352113,15
90211A,5,29.75,0,0,0.022284644,0.003745318,3
90129C,16,47.2,0,0,0.188047809,0.06374502,5
44091A,9,3.78,0,0,0.003045931,0.007252216,3
90209A,78,151.2,6,0.071428571,0.129896907,0.067010309,3
17129F,425,289.55,2,0.004683841,0.204918613,0.300778485,11
90160B,21,145.95,0,0,0.106300073,0.015294975,7
72369A,28,35,0,0,0.026595745,0.021276596,3
16162M,26,10.92,0,0,0.28,0.666666667,6
35810B,134,144.24,13,0.088435374,0.696811594,0.647342995,18
90164A,13,58.65,0,0,0.105485612,0.023381295,5
75131,488,522.56,0,0,9.167719298,8.561403509,13
23074,211,423.22,6,0.02764977,1.872654867,0.933628319,30
90201C,46,135.7,6,0.115384615,0.107018927,0.036277603,12
72351B,2028,3793.04,2,0.000985222,2.988999212,1.598108747,88
90200D,84,345,0,0,0.243644068,0.059322034,21
90214V,2,2.5,0,0,0.00206441,0.001651528,1
79323W,-8,-54,8,inf,-0.097122302,-0.014388489,1
84803B,15,25.35,0,0,0.017739678,0.010496851,3
90200E,67,272.75,0,0,0.18980515,0.046624913,15
75172,93,85.31,0,0,1.375967742,1.5,8
85035C,1105,1611.45,0,0,1.273873518,0.873517787,86
23083,1668,6041.71,60,0.034722222,26.3830131,7.283842795,150
75178,454,208.94,0,0,2.429534884,5.279069767,5
79323P,-4,-27,8,2,-0.267326733,-0.03960396,1
23085,326,3048.55,12,0.035502959,338.7277778,36.22222222,58
23086,1146,1311.54,16,0.013769363,0.983900975,0.859714929,29
46138B,30,32.1,13,0.302325581,0.022416201,0.020949721,8
47369B,3,11.69,0,0,0.120515464,0.030927835,3
21461,7,13.65,2,0.222222222,0.012557498,0.006439742,5
90141C,4,19.8,0,0,0.014032601,0.002834869,2
90214J,11,13.75,0,0,0.014278297,0.011422638,2
47367B,57,194.55,0,0,0.147722096,0.043280182,11
84876D,125,191.25,0,0,1.356382979,0.886524823,12
84562A,2,15.9,0,0,0.012054587,0.0015163,2
84078A,319,11639.05,35,0.098870056,52.66538462,1.443438914,78
90183C,1,2.95,0,0,0.005305755,0.001798561,1
72800E,357,845.55,0,0,2.625931677,1.108695652,54
79149B,17,7.14,0,0,0.079333333,0.188888889,7
90036B,4,31.8,0,0,0.158208955,0.019900498,2
90163A,4,30,0,0,0.114503817,0.015267176,2
84705C,12,15,0,0,0.026978417,0.021582734,1
22351,12,19.8,0,0,0.035611511,0.021582734,1
47556B,2600,6045,0,0,262.826087,113.0434783,1
35809B,8,9.18,0,0,0.056319018,0.049079755,3
23116,71,322.65,0,0,0.250116279,0.05503876,16
85132B,513,1048.35,0,0,19.78018868,9.679245283,44
18007,5856,383.76,0,0,0.945221675,14.42364532,15
84661A,31,79.05,0,0,0.271649485,0.10652921,6
72801D,55,68.75,0,0,0.051536732,0.041229385,10
23121,2455,956.22,0,0,6.781702128,17.41134752,78
35599D,145,344.43,0,0,3.87,1.629213483,15
23124,503,595.15,0,0,18.5984375,15.71875,23
90030B,100,119.8,0,0,1.247916667,1.041666667,11
23125,405,443.25,0,0,110.8125,101.25,15
90003B,2,7.5,4,0.666666667,0.058139535,0.015503876,3
84711A,13,129.35,0,0,0.099653313,0.010015408,6
84913A,37,172.05,0,0,21.50625,4.625,10
90059D,0,0,6,1,0,0,1
16258A,284,123.79,1,0.003508772,0.586682464,1.345971564,23
90018B,8,34,0,0,0.025468165,0.005992509,5
85231G,563,462.95,10,0.017452007,0.334018759,0.406204906,49
47567B,572,3159,8,0.013793103,9.077586207,1.643678161,78
79190B,594,219.48,16,0.026229508,5.775789474,15.63157895,23
84613A,6,27.9,0,0,0.105681818,0.022727273,3
37491C,8,13.2,0,0,0.023741007,0.014388489,1
84536B,1632,632.68,48,0.028571429,3.657109827,9.433526012,73
23151,35,87.15,0,0,0.065625,0.026355422,13
10002,823,699.55,0,0,2.787051793,3.278884462,40
85232B,13,68.55,255,0.951492537,0.04924569,0.00933908,8
16244B,7,7.85,0,0,0.005810511,0.005181347,2
84247K,12,35.4,11,0.47826087,0.154585153,0.052401747,7
85025B,302,469.5,1,0.00330033,0.350634802,0.225541449,20
90202B,1,2.95,6,0.857142857,0.002080395,0.000705219,2
72801C,135,159.63,0,0,1.628877551,1.37755102,13
90122A,8,39.6,0,0,0.245962733,0.049689441,3
90184C,11,98.45,0,0,0.669727891,0.074829932,7
51008,511,1662.95,0,0,1.335702811,0.410441767,16
23165,2659,4180.35,100,0.036245016,17.7887234,11.31489362,162
90040B,4,14,0,0,1.4,0.4,2
23168,2700,3107.62,51,0.018538713,8.050829016,6.994818653,138
23169,1328,5331.2,85,0.060155697,12.63317536,3.146919431,198
10080,291,114.41,0,0,0.580761421,1.47715736,19
84206B,5,0.95,0,0,0.001708633,0.008992806,1
90161B,40,198,0,0,0.14887218,0.030075188,9
47594B,87,169.65,4,0.043956044,0.153807797,0.078875793,26
23175,2963,8707.75,79,0.025969757,6.166961756,2.098441926,201
40005B,12,10.2,0,0,0.007264957,0.008547009,4
82001S,1495,5171.92,7,0.004660453,20.28203922,5.862745098,49
10120,187,39.27,0,0,1.354137931,6.448275862,25
10125,1200,908.2,0,0,0.641384181,0.847457627,48
10133,2374,1139.41,10,0.004194631,0.868452744,1.80945122,101
10135,1869,1690.76,1,0.000534759,1.266486891,1.4,91
85170C,252,366.23,0,0,0.857681499,0.590163934,26
47599A,2391,4443.82,6,0.002503129,23.02497409,12.38860104,102
90125D,74,65.4,0,0,0.047772096,0.054054054,3
90214Y,1,1.25,0,0,0.002248201,0.001798561,1
90030A,72,72,0,0,0.356435644,0.356435644,7
47504K,1946,1817.3,12,0.006128703,7.298393574,7.815261044,141
85049F,374,467.5,0,0,0.33852281,0.270818248,70
79190A,307,128.94,3,0.009677419,0.110393836,0.262842466,24
84745B,32,13.44,0,0,0.009940828,0.023668639,5
84251C,24,4.56,0,0,0.058461538,0.307692308,2
23189,1159,3157.51,1,0.000862069,2.237781715,0.82140326,89
84661B,80,213.64,0,0,0.482257336,0.180586907,6
23196,1707,2407.95,13,0.00755814,89.18333333,63.22222222,169
23197,1208,1746.8,25,0.02027575,13.0358209,9.014925373,114
17164B,29,12.18,0,0,0.104102564,0.247863248,9
72807C,536,2215.52,133,0.198804185,1.620716898,0.392099488,84
84614A,2,11.9,0,0,0.021402878,0.003597122,1
35598A,9,26.55,0,0,0.331875,0.1125,2
84997C,3592,13650.24,1,0.000278319,43.33409524,11.4031746,197
84201B,13,2.47,0,0,0.001837798,0.009672619,2
79030D,461,217.59,1,0.002164502,0.399981618,0.847426471,26
90165B,1,2.55,0,0,0.004586331,0.001798561,1
44242B,52,50.28,0,0,0.279333333,0.288888889,3
84006,754,640.9,1,0.001324503,0.463078035,0.544797688,45
84012,968,982.6,120,0.110294118,0.736581709,0.725637181,70
84016,25,10.5,0,0,0.018884892,0.044964029,1
90003D,14,52.5,4,0.222222222,1.5,0.4,7
84673A,63,40.95,0,0,0.03013245,0.046357616,21
84033,23,37.95,0,0,0.17985782,0.109004739,7
90124B,4,39.8,0,0,2.4875,0.25,3
23218,368,460.81,0,0,0.325660777,0.260070671,27
84050,3125,4356.33,14,0.004460019,3.441018957,2.468404423,140
47310M,235,288.09,0,0,0.217590634,0.177492447,23
84051,255,191.55,0,0,1.9155,2.55,21
17014A,154,67.83,0,0,0.05046875,0.114583333,7
46000U,97,121.25,0,0,0.100372517,0.080298013,15
23222,712,633.52,12,0.016574586,1.684893617,1.893617021,45
23223,699,628.73,0,0,1.272732794,1.414979757,47
84077,51852,12955.68,1200,0.022619317,116.7178378,467.1351351,296
84971S,1597,1352.47,1,0.000625782,3.625924933,4.28150134,68
16207B,4,11.31,0,0,0.008516566,0.003012048,3
90190B,6,17.7,0,0,0.031834532,0.010791367,1
35598C,2,5.9,0,0,0.004904406,0.00166251,2
81952V,367,69.73,0,0,0.049559346,0.260838664,22
23229,1645,5781.58,11,0.006642512,17.62676829,5.015243902,180
85023B,30,76.5,73,0.708737864,0.060907643,0.02388535,10
23234,1749,4281.27,16,0.009065156,16.65863813,6.805447471,192
44092B,14,11.9,0,0,0.167605634,0.197183099,4
23237,987,3975.65,14,0.013986014,96.96707317,24.07317073,126
84970L,5528,5405.24,12,0.002166065,58.7526087,60.08695652,230
84968E,84,984.6,0,0,39.384,3.36,13
85124B,76,193.8,6,0.073170732,3.4,1.333333333,23
84192,110,137.5,0,0,3.525641026,2.820512821,18
84873A,2,33.9,0,0,0.192613636,0.011363636,2
90014B,10,85.5,0,0,0.063333333,0.007407407,7
84199,124,26.04,0,0,8.68,41.33333333,25
85135B,46,365.7,1,0.021276596,0.262904385,0.033069734,28
90198B,28,119,0,0,0.084397163,0.019858156,10
23250,968,1191.31,52,0.050980392,3.855372168,3.132686084,62
84212,10249,4840.25,0,0,26.44945355,56.00546448,72
37487B,68,19.72,0,0,0.013723034,0.047320807,2
84743C,1,1.25,0,0,0.002248201,0.001798561,1
84218,122,222.3,0,0,2.364893617,1.29787234,37
90160C,41,284.95,0,0,0.21424812,0.030827068,14
84226,49,34.51,0,0,0.026006029,0.036925396,9
84227,1,0.42,0,0,0.000755396,0.001798561,1
84228,283,112.86,1,0.003521127,0.083476331,0.209319527,16
84231,105,68.25,0,0,0.057741117,0.088832487,13
84859B,31,62.63,0,0,0.048288358,0.023901311,10
85163B,43,320.85,1,0.022727273,4.010625,0.5375,11
62096B,2,2.5,0,0,0.004496403,0.003597122,1
84247N,22,64.9,0,0,0.276170213,0.093617021,16
82616B,296,401.78,9,0.029508197,0.376904315,0.277673546,35
90200B,57,242.25,1,0.017241379,1.459337349,0.343373494,18
84306,2,21.9,0,0,0.625714286,0.057142857,2
79191C,935,668.03,134,0.125350795,1.925158501,2.694524496,57
47591D,3051,5654.83,2,0.000655093,39.26965278,21.1875,248
35915C,49,80.85,0,0,0.067262895,0.040765391,8
85183A,642,787,2,0.00310559,2.732638889,2.229166667,60
62097B,9,7.47,0,0,0.005245787,0.006320225,2
84659A,133,311.76,1,0.007462687,0.281626016,0.120144535,19
16161G,700,70,0,0,0.04950495,0.495049505,22
85031A,16,45.9,0,0,0.9,0.31372549,7
84347,-2187,15528.74,9367,1.3045961,99.54320513,-14.01923077,179
90038B,6,22.5,0,0,0.040467626,0.010791367,1
84352,29,475.55,4,0.121212121,5.059042553,0.308510638,16
90067A,10,29.5,0,0,0.020629371,0.006993007,3
84356,317,1531.15,0,0,1.232809984,0.255233494,29
90214L,15,18.75,0,0,0.013121064,0.010496851,2
84358,32,287.74,0,0,0.200935754,0.022346369,6
84360,72,376.4,0,0,0.351775701,0.06728972,9
84375,4008,8391.02,13,0.003233027,6.612308905,3.158392435,283
84378,5794,7422.92,72,0.012274122,40.34195652,31.48913043,366
84380,5090,6428.11,63,0.012225888,34.93538043,27.66304348,319
84388,24,13.14,0,0,0.410625,0.75,6
35241,89,413.95,0,0,1.281578947,0.275541796,27
90161C,40,198,0,0,0.956521739,0.193236715,12
35004P,1,5.45,0,0,0.009802158,0.001798561,1
35004G,99,395.65,2,0.01980198,1.16026393,0.290322581,14
35265,16,50.25,0,0,0.534574468,0.170212766,11
37462E,27,5.59,0,0,0.004415482,0.021327014,4
72802B,568,1293.44,400,0.41322314,7.146077348,3.138121547,55
84422,503,201.69,48,0.087114338,1.07855615,2.689839572,8
90059C,2,3.3,6,0.75,0.002360515,0.001430615,3
84452,70,59.5,4,0.054054054,0.051559792,0.060658579,14
84457,120,102,0,0,9.272727273,10.90909091,21
84461,35,89.25,6,0.146341463,0.068865741,0.027006173,13
84462,12,15,0,0,0.010845987,0.00867679,6
90010E,10,89.5,0,0,4.261904762,0.476190476,7
84912B,149,558.75,0,0,2.408405172,0.642241379,32
84465,10,29.5,0,0,0.278301887,0.094339623,7
84466,46,57.5,0,0,0.040521494,0.032417195,8
79191D,12,10.2,12,0.5,0.0816,0.096,6
90013A,8,30,8,0.5,0.196078431,0.052287582,3
23303,53,103.35,0,0,0.090104621,0.046207498,5
23304,47,91.65,0,0,0.072507911,0.037183544,7
23305,58,113.1,0,0,0.110665362,0.056751468,7
85036A,210,674.78,1,0.004739336,0.518264209,0.161290323,48
84569D,269,338.67,0,0,0.241217949,0.191595442,32
15056BL,2579,14143.16,130,0.047988188,39.06950276,7.124309392,141
84497,13,48.75,0,0,0.035480349,0.009461426,7
84499,7,5.95,0,0,0.005102916,0.006003431,2
84970S,8111,6476.33,25,0.003072763,28.15795652,35.26521739,268
23312,1273,5145.35,1,0.000784929,26.25178571,6.494897959,160
84522,12,23.4,0,0,0.334285714,0.171428571,6
85131A,456,450.9,13,0.02771855,1.445192308,1.461538462,21
84527,47,84.45,0,0,0.077762431,0.043278085,6
84531B,150,83.46,0,0,0.066238095,0.119047619,24
16248B,13,16.25,0,0,0.012282691,0.009826153,7
84539,16,26.4,0,0,0.047482014,0.028776978,1
84846A,53,111.3,0,0,0.800719424,0.381294964,9
85036B,354,556.08,6,0.016666667,0.394103473,0.250885897,40
84548,15,24.75,0,0,0.242647059,0.147058824,3
84549,31,46.35,0,0,0.121018277,0.080939948,3
84550,1,1.65,0,0,0.002967626,0.001798561,1
84551,1,1.65,0,0,0.002967626,0.001798561,1
35400,-6,-45.7,16,1.6,-0.27202381,-0.035714286,13
84415B,6,12.5,0,0,0.010888502,0.005226481,2
84568,12480,2332.8,0,0,23.328,124.8,18
84576,57,111.15,0,0,0.090586797,0.046454768,8
84580,322,1210.92,0,0,0.88002907,0.234011628,88
84581,160,600.76,0,0,0.441410727,0.117560617,59
84711B,14,139.3,0,0,0.107984496,0.010852713,6
84926F,395,165.54,24,0.057279236,0.12963195,0.309318716,18
84584,83,211.65,0,0,1.55625,0.610294118,18
23325,426,671.7,18,0.040540541,0.483933718,0.306916427,27
84592,70,206.5,0,0,0.882478632,0.299145299,15
84593,5,14.75,0,0,0.026528777,0.008992806,1
35443,7,5.95,0,0,0.004187192,0.004926108,5
