,Customer1,Customer2,Customer3,Customer4,Customer5,Score1,Score2,Score3,Score4,Score5
16555,14491,16022,14056,16394,16096,0.23283246794951282,0.20356955550241287,0.16633077076766034,0.21354096127236652,0.18372624450804745
16557,17483,17331,14148,15465,16144,0.19028367391204817,0.2138120370761238,0.1968299343334148,0.18526231760228937,0.2138120370761238
16558,17813,16316,13704,14214,13871,0.1815424104960005,0.22842678591555549,0.2352049320103503,0.18163549003770332,0.17319038154039032
16560,18220,13296,12665,12668,12891,0.19978024493059568,0.18664730758509623,0.18714955488119625,0.17220283098475958,0.25422006161835226
16566,15668,18113,16148,14090,15488,0.20000385754101946,0.20000385754101946,0.20000385754101946,0.20000385754101946,0.19998456983592222
16570,13321,13265,13525,14233,18144,0.18968543312449196,0.19767579189151277,0.20256340472958703,0.19980919727698482,0.21026617297742345
16571,17795,16113,16306,16931,17864,0.18461794093003162,0.22181963425480888,0.1876180508566147,0.2051850606032485,0.2007593133552964
16592,16824,13027,13826,16053,12738,0.18080847468008074,0.18880906504148628,0.22046095948607353,0.23317859619739967,0.17674290459495975
16593,18287,16438,13362,15252,13295,0.25792671475441625,0.09687903256978125,0.08250419369768724,0.2805096746500415,0.2821803843280738
16596,13874,13369,14127,16250,13569,0.19049689499132566,0.22360136893700766,0.17088006701801842,0.20709787138976132,0.20792379766388702
16600,15809,16386,13126,13358,13736,0.2022347948145218,0.20221571516026784,0.1917309829126399,0.19355304309033677,0.21026546402223367
16607,16287,16050,13395,16969,15675,0.22464600239504096,0.18618545789873261,0.19649608066497665,0.2005442470038656,0.19212821203738406
16609,16782,17735,17677,16628,17068,0.20969051097563834,0.20161218090200742,0.19401571012790064,0.194524577132546,0.20015702086190762
16612,16456,17677,13070,17454,14607,0.21480637117175697,0.19607474534426464,0.20586938625304121,0.1914420213359534,0.1918074758949837
16616,16881,13414,13745,12864,13082,0.21225084115079243,0.21168109792843803,0.190739118659832,0.19534675681927502,0.18998218544166254
16618,17080,15031,17186,13135,16432,0.18109809158254883,0.27817778830414713,0.18109809158254883,0.18109809158254883,0.17852793694820634
16621,14428,17733,16610,13475,17080,0.17665837431006676,0.2348939960161709,0.2330982614033191,0.17731763039655773,0.17803173787388551
16626,15753,16405,13780,14111,16027,0.20168595890615573,0.2006697610461273,0.20150801223535508,0.19511141454506623,0.20102485326729558
16628,14680,12373,17068,17677,12380,0.19809752587413101,0.22882845345515948,0.18559117963991606,0.18678263703243755,0.20070020399835595
16633,13001,15361,15705,14964,18198,0.1984601245802687,0.1981859283966553,0.20068139712514757,0.20148248075202993,0.20119006914589854
16637,17597,16464,15193,13308,16754,0.1938282584280903,0.20471855798704727,0.19721241362960873,0.21123211192657132,0.19300865802868242
16638,14414,16191,13253,13922,15159,0.17612767351187478,0.2638883636690917,0.18366422087385714,0.19249541180606433,0.18382433013911215
16639,14847,17616,14327,14733,18106,0.2005231485254264,0.19690629259276718,0.20182804654514191,0.19013847194237404,0.21060404039429031
16652,15140,15491,17512,16739,14682,0.19056251710901834,0.19496956375179905,0.20608255510628323,0.20987904996635093,0.1985063140665484
16653,16837,13420,12756,18265,12417,0.17413423749902968,0.18106543533397634,0.2417574843817024,0.17844226621948317,0.22460057656580834
16655,14911,12356,16062,14081,17405,0.16817241486265413,0.18513031825498505,0.22747757435790286,0.16955191300127004,0.24966777952318786
16656,18016,14716,17265,18099,17994,0.21461252902212674,0.2500989170875812,0.16104115845584557,0.1768838259947395,0.19736356943970707
16657,12627,16948,13092,16669,16488,0.19307026227455543,0.2219362185685898,0.19842945696947106,0.19419821828124412,0.1923658439061396
16660,13144,15206,15909,17391,16906,0.19486842451682657,0.1739548633337277,0.1737538755562318,0.1671304266662764,0.29029240992693756
16668,14356,17880,16063,13108,17913,0.16129321660448295,0.19145045369864977,0.167448487309997,0.2516338540499336,0.2281739883369365
16669,13621,16488,16948,13092,18033,0.19407666013048314,0.19445440240534312,0.2173800466802486,0.2004636073645713,0.19362528341935373
16670,12891,17463,13634,13168,17188,0.24241547720034626,0.186555412509183,0.18684828911478168,0.20375407085445071,0.1804267503212383
16671,13748,18192,15070,14737,13211,0.2007260806913185,0.16165306715078248,0.2621260685477832,0.18494161472344067,0.19055316888667514
16672,12464,17708,18280,14047,13097,0.24710653933020618,0.24564124686557137,0.16875314520288906,0.16591835764592405,0.1725807109554094
16674,13967,15864,14463,17025,17556,0.2034557909267114,0.1986674298305064,0.20483834830765515,0.2013207944203053,0.1917176365148218
16676,17376,13173,18008,18010,15932,0.18322659835195565,0.20029327045374803,0.20075326087874956,0.2232912412126039,0.19243562910294273
16678,17060,17080,13666,18027,14428,0.19252563781885298,0.20388890249341057,0.19069425314394575,0.22043628129905427,0.1924549252447363
16682,12729,16861,14560,14586,14023,0.19661350964459437,0.2694419979308503,0.1672026315711246,0.17924327797879755,0.18749858287463322
16684,13414,12864,12901,13082,16881,0.20727682853251816,0.1911079562201511,0.2034820487915728,0.1904879251484628,0.20764524130729523
16686,17272,18013,15358,13743,15429,0.1813768332996369,0.22269666258275003,0.18886184846222598,0.21412205339663817,0.1929426022587489
16688,16536,17144,16440,15707,16968,0.205737276256401,0.20992755107998,0.18141024211433052,0.23823002848485603,0.1646949020644324
16690,16278,16897,15937,16895,17850,0.19156150567037608,0.17567193622055424,0.19427267225737488,0.2568939943869598,0.18159989146473499
16700,17750,14056,18079,14040,16729,0.1929202211772575,0.20979893448998935,0.20378085170896196,0.1844398156675924,0.2090601769561988
16701,15886,14083,18018,15035,17841,0.19131779953316164,0.20487834200752242,0.2179191759852904,0.1922088618819495,0.19367582059207608
16705,13161,13831,17616,18092,17707,0.18547484970368033,0.19318540137525467,0.18059836805610627,0.20101211823985102,0.2397292626251077
16706,15506,16515,14277,15756,13124,0.1985844510220954,0.2255432550294123,0.23372174733645648,0.17184529240735547,0.1703052542046804
16710,17213,13487,17957,17554,16711,0.17608446138716802,0.1907986059017278,0.19491831055439596,0.23931838764469215,0.19888023451201614
16711,17384,12917,13551,14145,12974,0.2085734771090519,0.23931870275311995,0.16922387758149882,0.20896575407234064,0.17391818848398874
16712,17455,17995,14054,17682,13178,0.20285743626917543,0.1923793787138659,0.19514681948567877,0.20657395620247343,0.20304240932880654
16713,12577,13513,18227,16232,16359,0.17275247699340796,0.2036884632286117,0.21526270509683662,0.1766107214941742,0.23168563318696955
16717,13969,16180,16729,17469,17669,0.22317943775750662,0.17742802966702728,0.18262284035034895,0.19365485434483248,0.22311483788028463
16719,15860,17464,14676,16422,14549,0.19324680816843992,0.2154352563599778,0.19209508569861183,0.20089737599167923,0.19832547378129123
16722,15366,17139,15544,13178,13309,0.19129546584955873,0.18015162425126838,0.2086662292768107,0.19950299964204712,0.22038368098031508
16726,14676,17464,16719,14549,16422,0.19431632289822018,0.20965634420110096,0.2037794855722895,0.1961767159580548,0.19607113137033447
16728,13414,18094,16881,17187,12864,0.19709100241502783,0.19892626822731968,0.19762147615081196,0.21879492105748008,0.1875663321493604
16729,17750,14044,16700,18016,14056,0.24359949573814008,0.1777707457643858,0.17697308099044232,0.20196801222552788,0.1996886652815038
16730,15607,17082,13904,12501,16829,0.17637649688891616,0.2305382763867672,0.16640160775821608,0.1681503615058994,0.25853325746020117
16734,14163,16174,17866,16332,15579,0.20249717813716203,0.18690647066203808,0.21476613517070098,0.17646954533580017,0.21936067069429888
16743,13027,14005,13728,16053,14796,0.19916683504392238,0.2019407606683683,0.182237968814087,0.18439742478515764,0.2322570106884646
16744,15270,17715,17763,17955,15218,0.19676042596944135,0.2035128674821971,0.2035128674821971,0.2016426279044774,0.19457121116168702
16746,17498,14518,12516,13534,17651,0.1923757812924432,0.18970457530514884,0.20135008591887973,0.17332125551351996,0.24324830197000816
16747,14246,13525,17059,12364,18144,0.19110813028694965,0.19661744860885993,0.1971690090542931,0.2100072624081152,0.20509814964178222
16748,15032,13534,15769,16945,16456,0.22732421132043165,0.2133580457085432,0.18144759258344664,0.1876146103927048,0.19025553999487366
16750,14712,18242,13824,15690,15067,0.22808844625166283,0.19852525145611355,0.18149451020183177,0.1949862299018416,0.19690556218855026
16762,15612,18272,15083,16402,15438,0.22415302355348468,0.17339736452296184,0.21261485574751196,0.21844483461439254,0.17138992156164892
16764,14451,15569,14327,16782,17790,0.21576178694982037,0.18162094607788923,0.17905164950971708,0.21579729728805805,0.20776832017451533
16767,13657,14901,13862,12981,16700,0.1848719042686662,0.1835631442157997,0.2219721444861237,0.20484652155742133,0.20474628547198903
16768,15464,17742,17616,12871,13831,0.21412760015351745,0.22171559449791725,0.18847442251463414,0.19598417480061256,0.17969820803331876
16770,13561,15350,17951,14548,16191,0.19542045089230253,0.1939604422452633,0.23639921984906473,0.18801455685098675,0.18620533016238258
16771,15456,14649,16036,15402,16805,0.20914867550390126,0.20361343952226388,0.18347992603945362,0.21167836015932515,0.192079598775056
16775,17079,17739,17080,13133,14428,0.20222422034991097,0.1993306444083011,0.19952667562267626,0.20837537745763932,0.19054308216147234
16779,15143,16829,13329,12433,12596,0.1941529956965363,0.22720076832932604,0.19796024136777388,0.19764942296288232,0.1830365716434815
16782,17616,14987,18172,14548,13831,0.1917242418392928,0.20831412746126954,0.18774895842102757,0.21441796731161392,0.19779470496679624
16791,16053,15687,15228,14849,15845,0.21591902801594126,0.19210822045797527,0.19103471297977537,0.2020052346137458,0.1989328039325622
16794,14898,14064,18109,15412,13784,0.20252207794552615,0.19568091146260422,0.20316519549967485,0.20079136913873297,0.1978404459534619
16804,15796,14803,13011,13514,15206,0.17997682529512132,0.17920475843085287,0.2552918888594642,0.1936640462916902,0.19186248112287144
16809,14367,18177,17735,15417,13027,0.18548335148897704,0.1988007695169355,0.21890197803734462,0.19279544519272,0.20401845576402278
16813,13316,15118,15847,13069,13062,0.19941339881595305,0.20035974175851018,0.19975149411823065,0.20071800448367227,0.1997573608236338
16814,16407,17158,16146,17858,14897,0.22026687281343404,0.20765420055643524,0.18591804515425683,0.19205431461169492,0.19410656686417896
16817,16587,13962,13101,16191,14373,0.17632471537885533,0.1791373135324523,0.20353172048611473,0.22821388698423903,0.21279236361833867
16818,16150,14221,17787,14530,16081,0.18449253944804495,0.2211988691173368,0.19919076272381658,0.189432572635431,0.2056852560753706
16824,16778,18146,16053,16592,15228,0.1876447189342022,0.19186862010702652,0.2244579781099058,0.20158092451696258,0.19444775833190278
16825,17043,17707,17512,14682,13720,0.24013332112530134,0.19210711906492708,0.1929556435738687,0.19401867976907428,0.18078523646682865
16836,17347,16976,16872,18048,17388,0.20451143288936058,0.19964141444627267,0.19945226061072863,0.19194502245392475,0.20444986959971337
16837,17819,15813,17453,17115,13951,0.2066009017986592,0.2189706004405576,0.18961083333086454,0.18921618107629207,0.1956014833536266
16839,13094,17025,16389,14377,13695,0.19278552826147005,0.20810136637228643,0.18507724350209226,0.2222781599569126,0.19175770190723868
16841,16460,13656,14314,14533,14997,0.20317089310564662,0.18679707799682924,0.18583793780095545,0.22400781451470234,0.20018627658186636
16843,13678,16287,16969,15675,16050,0.19506558056266832,0.19514666509746975,0.1878556356861511,0.21071745333938705,0.21121466531432376
16852,15339,16149,13283,15041,17695,0.21968464618964584,0.2199653137490176,0.18418508185218394,0.1717259801723803,0.20443897803677238
16863,14196,15083,17616,13809,14423,0.20698255301917937,0.19716945617543127,0.16572298595830828,0.21932578830612443,0.21079921654095668
16869,14481,14130,16643,16495,14162,0.17989366748969457,0.20602638313122423,0.19570416514427327,0.20008710058052562,0.21828868365428242
16871,15228,17507,18241,12738,14885,0.18314760002171224,0.22308374172371356,0.18825902521945104,0.21826245527525748,0.18724717775986585
16873,18142,12684,14082,17334,16511,0.2018745540182881,0.19332613926471878,0.19925623863764216,0.19687774049168827,0.20866532758766268
16877,17504,15661,12897,17790,14076,0.1866106287888733,0.20745257937946654,0.21918618318360067,0.1855949364168348,0.20115567223122469
16878,17796,14704,17906,14985,16893,0.19496766171150368,0.2724212963316589,0.1676927164838568,0.1987621843983038,0.16615614107467683
16880,18116,14662,17964,16899,17306,0.18397716371906983,0.22841050068313076,0.2057409776354097,0.18560283578541936,0.1962685221769703
16885,13434,16998,14062,13551,13183,0.2530568812215848,0.1877881027600796,0.19040064900080494,0.1878052484440012,0.1809491185735295
16891,14101,13038,15287,18086,14107,0.25259473041380803,0.19686335397879445,0.17451707322241444,0.20138678400305496,0.17463805838192814
16892,14731,16105,18224,13450,16656,0.16665075276785382,0.17150833294762988,0.2168632821758009,0.28836941334413035,0.15660821876458508
16898,17995,16174,13494,12971,13946,0.23357310540329895,0.17946195630709713,0.18792061133457486,0.2068894652569581,0.19215486169807103
16899,17186,18118,16401,13135,16432,0.20226478689130795,0.19082399822269602,0.20495310335702432,0.20226478689130792,0.19969332463766368
16900,15518,17284,17373,17306,12436,0.17200035173561978,0.21526994593895293,0.19970829380963212,0.20264761030167672,0.21037379821411856
16904,16422,14549,17414,16377,17464,0.19663994891764938,0.20690741775373162,0.19507932382823776,0.19402340633669424,0.20734990316368718
16905,17602,18144,14035,15197,18188,0.17675438676493918,0.1772830189424144,0.17510577790762322,0.23647765077224092,0.23437916561278227
16907,16013,17430,17640,13769,17588,0.16080612193871896,0.1300731391977791,0.20279082669967333,0.306821042399791,0.19950886976403753
16910,17128,14912,17522,14171,14460,0.16943664117276208,0.25739504530365725,0.1601329317626663,0.22194520307729276,0.1910901786836216
16912,13356,15075,16292,13247,12363,0.20635390719331845,0.204261251657375,0.19915412282494405,0.186565109074495,0.20366560924986757
16915,16163,14055,17723,17923,16323,0.18491760597447893,0.18385603185799781,0.21032854274653534,0.210448909710494,0.210448909710494
16916,15869,13121,17512,13145,14682,0.23233287254573315,0.1937930224903789,0.1676014371383243,0.23670295595744703,0.1695697118681166
16918,15005,13461,16458,13686,13048,0.23427108342007805,0.18996884806168407,0.19197710100479407,0.1911838627802951,0.19259910473314876
16923,15983,17287,17449,16441,15027,0.20295028261800685,0.21442630216628378,0.16956061036435954,0.16948120332993075,0.24358160152141914
16924,16976,17388,16836,17347,14117,0.19822503588725918,0.20302175338715317,0.20029764675814876,0.20306050343456267,0.1953950605328761
16929,16109,13533,14451,16919,17652,0.23858403301608738,0.18338519903901815,0.21691086967287387,0.19037330096350433,0.17074659730851635
16930,14014,13536,13991,14561,13499,0.15761352643823245,0.20993818255008279,0.23747850675471563,0.16194098693387407,0.233028797323095
16931,17864,17795,17601,16113,13755,0.20900620304523285,0.19293960264718263,0.19618401909015004,0.2021999739866327,0.1996702012308018
16940,16401,13451,14159,18118,13320,0.21160185830932243,0.20099618817526432,0.208391534636605,0.1898438303059896,0.18916658857281862
16942,18144,16200,14233,13525,17469,0.20649135314355166,0.18955464975098035,0.20979075491414012,0.1973883756369941,0.19677486655433382
16945,14709,16748,16456,15032,13534,0.18516962640570644,0.2022055714898097,0.18745488084762993,0.21165979405125385,0.21351012720560006
16949,16208,13731,16023,17506,15230,0.22381546378592193,0.17462523704237212,0.19437548764938817,0.21916992320927198,0.18801388831304586
16950,17616,14548,12583,13831,14209,0.20899429690143786,0.19826939885820433,0.18970451137952846,0.1992625850303679,0.20376920783046137
16954,13728,14005,13027,14907,16809,0.20221384124315722,0.18727511904991823,0.20811345969608,0.20336984926692012,0.19902773074392446
16960,13756,15910,14421,14157,17928,0.20082149472025493,0.2156232169184539,0.18092154996026572,0.19911175239727397,0.2035219860037514
16966,12830,14248,15346,18142,18150,0.17949671847743207,0.1559988844614176,0.2460160555416733,0.22643632578527512,0.19205201573420191
16969,15862,13395,16050,15901,16287,0.18927596844297262,0.2039293450893092,0.1932286810299174,0.17818008250198583,0.23538592293581487
16979,17331,14148,16144,15465,15712,0.20624383708864738,0.1898628415217656,0.20624383708864738,0.2128107759186766,0.18483870838226302
16983,15348,16287,14467,13395,12939,0.18029471220406487,0.1638646112663935,0.22885364025479404,0.16061179168127243,0.2663752445934751
16985,17742,17616,13831,18172,14548,0.19344376009699613,0.2105544709997166,0.20076174946175737,0.19549050947423738,0.1997495099672924
16987,17630,15759,14434,16349,14681,0.12971071957261301,0.27048218448924627,0.13560868207530916,0.1426913062445188,0.32150710761831264
16989,13706,15985,15124,13044,14691,0.19719283811329213,0.1833462084194245,0.27634466991747175,0.17474375319249155,0.16837253035732
16992,12736,13027,18185,13819,13338,0.1876369444009359,0.23392586706857285,0.19843195855591148,0.1876857340985853,0.19231949587599453
16996,15793,14233,13525,13321,18144,0.19466561133784638,0.190908831248503,0.1966419626297372,0.21186613907179877,0.20591745571211453
16999,16006,13606,14981,16552,16966,0.21185597314821142,0.23023247166536248,0.18403411930481106,0.18670217566028327,0.1871752602213318
17001,13999,14001,17174,13629,16182,0.2199070660280952,0.2157769619208538,0.18836298568992196,0.18644576997156107,0.189507216389568
17004,15351,17203,13851,14555,14390,0.17672993194437603,0.17652958075507189,0.16431212110324578,0.28741861883373265,0.19500974736357354
17006,14813,17951,13681,16426,16191,0.17221387559000023,0.23940309214327257,0.20131636169442355,0.15451790191402984,0.2325487686582738
17007,13720,14682,17512,16475,18183,0.2073322047891566,0.22250888088521772,0.2199670254066494,0.17188528002321518,0.17830660889576105
17014,13748,15070,13325,16671,13211,0.16189549211067597,0.211417613079592,0.21265057359695289,0.15617775425813488,0.2578585669546442
17015,15230,13588,16147,17966,16686,0.19510692714080513,0.19862549197021107,0.2093554503434401,0.2050224036347568,0.19188972691078682
17017,16401,13135,17186,18118,16432,0.19458550148834103,0.20554956499359658,0.20554956499359656,0.1916829748960605,0.2026323936284054
17018,16339,14589,14970,13538,15863,0.15098197766744134,0.1530645860843058,0.3145457868071695,0.21905813927149628,0.162349510169587
17019,13451,16401,15521,15298,13135,0.19388128539696176,0.20222016003740892,0.20063292411176686,0.2120946542413573,0.19117097621250526
17024,15438,16010,15552,14733,15493,0.1756524983895253,0.0732459600873408,0.4594981821618185,0.08357055675040537,0.2080328026109103
17031,17068,16180,12840,17454,18177,0.20667342929945953,0.1842420007087345,0.19230649961692126,0.18998314090851173,0.22679492946637295
17034,18198,15705,13695,14964,15938,0.19426108709365797,0.19916230802987225,0.21502948202027491,0.19789591197966955,0.1936512108765254
17041,13136,12644,17506,16053,16370,0.1790167853387163,0.24711722734749594,0.1825811419367895,0.1820252373661032,0.20925960801089513
17043,18092,15388,17707,15919,16825,0.17643105471089376,0.18179544257166985,0.21076437963121378,0.16779985718664997,0.2632092658995727
17044,16810,16923,0,0,0,0.9331336483029702,0.06686635169702976,0.0,0.0,0.0
17049,15719,13534,16458,13577,17581,0.2098499892469297,0.19668271865312795,0.21796934058475165,0.18993682285761965,0.18556112865757107
17054,13357,13611,16447,16614,13037,0.2045404264333856,0.20491162160798443,0.23423386290269865,0.176071981873986,0.1802421071819453
17059,14572,16938,16205,12364,14301,0.19245328090499608,0.1949749921888563,0.20520170965030413,0.21318232817712357,0.1941876890787199
17063,17049,14367,16620,14680,15543,0.19191406804959862,0.19515959128638857,0.21451813745690296,0.20530034840722808,0.19310785479988185
17068,15417,18177,17735,17594,13178,0.19746711156953167,0.2105885755624625,0.20738303938016123,0.19344551195635082,0.19111576153149382
17069,12523,12481,13098,18236,13871,0.19637501031852078,0.1869856501510877,0.23042091796232514,0.20864328036589253,0.17757514120217385
17071,14327,13246,15661,12897,12945,0.1702802220481812,0.22941361611528924,0.20704508083313836,0.20575267894526772,0.18750840205812355
17073,13722,17597,15093,17898,13308,0.21316777577014115,0.19346725485088018,0.1929419579436785,0.19493403449502014,0.20548897694028004
17075,15514,17230,14031,17358,14962,0.17276887908672797,0.1832720789364002,0.19133891903855385,0.20023492677491425,0.25238519616340366
17076,13003,13249,12679,12665,17135,0.2215223097219761,0.1858346772551709,0.21632758777098632,0.2032909852922004,0.17302443995966627
17080,16980,17060,14428,13133,17739,0.2007242601754967,0.20846618439291392,0.2083896170293061,0.17622505761762128,0.20619488078466208
17082,13826,12604,16730,15607,13027,0.20678909197068449,0.18777205143267112,0.19852626009948346,0.1911433689950103,0.21576922750215058
17086,13308,16723,15193,14676,15483,0.19872962136913216,0.19558412158764885,0.19530426715800606,0.1950526127770878,0.2153293771081251
17088,16477,13985,16242,15719,13263,0.2242880498167786,0.18882358335454033,0.21757210558740345,0.18603542258408676,0.18328083865719078
17090,13833,14315,16461,13323,17362,0.18979557580242215,0.2317544882504476,0.1850074801092879,0.19312953176828623,0.20031292406955614
17091,13722,14709,17597,13157,18257,0.19330904118560402,0.19445239659611704,0.19790316605606154,0.22032757376676876,0.19400782239544884
17092,17601,17795,17864,13755,16113,0.19510438958078805,0.1959057591639402,0.19894034908003985,0.1996324531831244,0.21041704899210747
17095,18190,16881,13082,12864,13414,0.18129604655067955,0.2147516528327901,0.1916527602093525,0.1976483988238263,0.21465114158335158
17096,17775,17854,12455,12821,14500,0.1566439480166173,0.19043417022158501,0.2327565022891697,0.24813576564647646,0.17202961382615167
17097,17848,15658,15083,15921,15909,0.21093956614833428,0.17971493910206898,0.21493855689574082,0.2120875783967646,0.18231935945709138
17101,15985,14691,15124,13044,16989,0.17535239748525666,0.20007697128206534,0.2363118683451113,0.18616621665949085,0.20209254622807585
17107,14649,15402,17763,15270,15218,0.2173761482524829,0.1923657951282083,0.19017428987709362,0.19859155977109433,0.20149220697112089
17109,14461,14035,17492,13570,17848,0.18365000907015963,0.22423293592175456,0.1907509718460009,0.21226860201503028,0.18909748114705463
17114,15532,14421,15935,13161,12489,0.19681180503196674,0.2047242572580524,0.1987342113559524,0.19525589641571695,0.20447382993831145
17119,16380,14883,16624,15565,17172,0.24448142160496758,0.21548539312362344,0.20034820640690498,0.17051104011205964,0.16917393875244424
17131,13161,13120,12944,12414,14440,0.18419962341469287,0.17866683651227266,0.1853432830464122,0.18361475459157486,0.26817550243504734
17133,16041,16168,17512,15140,16475,0.1990849503158996,0.1885556675647853,0.1943867254952161,0.20274485641184262,0.2152278002122564
17135,18220,17718,12679,13003,12665,0.220692286096562,0.17798851366321258,0.18605307637236945,0.1904381543726764,0.2248279694951795
17139,17594,13178,17682,17735,18229,0.21065512576336365,0.20967960514653686,0.2048856010045705,0.17535124926769713,0.199428418817832
17147,13833,13814,13930,14256,12571,0.2466994821759297,0.19354981737159607,0.19060052481629886,0.1789466593547726,0.19020351628140286
17155,14005,13728,17628,13027,16763,0.1967698898298841,0.1795820121600291,0.2107523769380504,0.22606713947062554,0.18682858160141075
17158,16814,15257,16189,16146,15820,0.21482949382293537,0.18094185081852407,0.20066750610928535,0.20546509446204744,0.1980960547872077
17159,17679,13045,17040,16053,15136,0.2381313693332985,0.19949998878306893,0.18515753683331695,0.20302443837805464,0.174186666672261
17160,17139,18283,17091,13157,17594,0.21684011175761805,0.21739758187093092,0.1890912043439116,0.18789676393138588,0.1887743380961535
